gene,protein,r1,r2,p1,p2,Class.pr
PDR8,RNR2,0.011824788,-0.0182935421480344,0.999924,0.953798915793736,No effect
PDR8,SSA1,-0.11810989,-0.11751456578425,0.999924,0.755675984506908,No effect
PDR8,TDH1,-0.095496634,-0.181881562042718,0.999924,0.487548091728734,No effect
PDR8,TDH2,-0.1697463,-0.0793539600179789,0.999924,0.877973591807855,No effect
PDR8,TDH3,-0.096031607,-0.00367318678116191,0.999924,0.995035555547014,No effect
PDR8,YHB1,0.029940475,-0.080679447826397,0.999924,0.894157472471911,No effect
YLR278C,ENO2,0.062204623,0.229197303152904,0.840945,0.298883902588447,No effect
YLR278C,FAS1,0.03701667,0.53015750747807,0.781786,0.0403056317534073,Study 2 only
YLR278C,FAS2,0.071625394,0.214355664526401,0.451857,0.432001380428612,No effect
YLR278C,HTB2,-0.11641515,0.260774365944612,0.152855,0.488338023130276,No effect
YLR278C,RNR2,0.33798505,0.0731465825895117,4.902e-8,0.753056915196316,No effect
YLR278C,SSA1,-0.1126307,-0.128549187820661,0.64754,0.724762052121581,No effect
YLR278C,TDH1,-0.094561294,-0.190546197970399,0.737374,0.455988366724477,No effect
YLR278C,TDH2,-0.060628972,0.175026070522492,0.860529,0.66555354785618,No effect
YLR278C,TDH3,0.12573044,0.411702007733792,0.659473,0.0818008995014498,No effect
YLR278C,YHB1,0.099200929,0.266346482821605,0.666743,0.516912953737211,No effect
RSC2,ENO2,0.5431395,0.0689489069548923,2.12446e-5,0.84351356772881,Study 1 only
RSC2,FAS1,-0.41581292,0.075836335703486,2.11651e-12,0.88767412367341,No effect
RSC2,FAS2,-0.27299619,-0.00141024412607063,6.15577e-7,0.99788003349835,No effect
RSC2,HTB2,0.13899791,-0.175651939205563,0.0139881,0.692039229273563,No effect
RSC2,RNR2,0.33969611,-0.0150037378591998,1.18977e-9,0.962813771377914,No effect
RSC2,SSA1,0.35723669,0.127461860491991,0.00410651,0.728758475039467,No effect
RSC2,TDH1,0.62520502,-0.101146649712979,1.33529e-6,0.758369281303042,Study 1 only
RSC2,TDH2,0.69290028,-0.150221522227243,9.52563e-7,0.726423088037615,Study 1 only
RSC2,TDH3,0.69607396,0.504779782182613,9.18897e-7,0.0209357829469034,Consistent
RSC2,YHB1,0.32684794,0.0410882743527957,0.00436276,0.951652570868254,No effect
SFP1,ENO2,0.60803329,-1.20782497545692,0.00278178,1.64100182476337e-17,Opposite
SFP1,FAS1,-0.24083053,-1.19412882426884,0.00187872,8.12139374911914e-9,Study 2 only
SFP1,FAS2,0.07962046,-0.646409504503824,0.307488,2.21555063893572e-4,Study 2 only
SFP1,HTB2,0.81884238,-1.18424504249268,9.82477e-19,5.15340968167042e-8,Opposite
SFP1,RNR2,0.18260332,-0.0136383316460431,0.00178036,0.9662738189723,No effect
SFP1,SSA1,-0.11595074,0.0482061250601227,0.591886,0.918474757605288,No effect
SFP1,TDH1,0.2279505,-0.655788020338906,0.355392,3.14968319197799e-5,Study 2 only
SFP1,TDH2,0.73449069,-0.964881663211663,9.78246e-4,3.71153857818346e-6,Opposite
SFP1,TDH3,0.13203717,1.26778606025329,0.609516,1.12080419800116e-12,Study 2 only
SFP1,YHB1,1.1746876,-1.40713882122917,1.30629e-21,9.3716300853169e-10,Opposite
CDC73,ENO2,-0.084733051,0.298837670321122,0.730562,0.37222089095968097,No effect
CDC73,FAS1,-0.64742451,-0.436741110569146,1.59891e-16,0.0151715714274764,Study 1 only
CDC73,FAS2,-0.41946663,-0.413914872989923,1.31608e-8,0.118452040948596,No effect
CDC73,HTB2,-0.76225519,-0.570135052030918,1.88457e-16,8.15591559066613e-4,Consistent
CDC73,RNR2,-0.43814894,-0.0529749974745666,7.50991e-14,0.907524956803322,No effect
CDC73,SSA1,0.078145256,-0.60097556611428,0.740731,0.079891446809954,No effect
CDC73,TDH1,0.11419376,-0.16830646310931,0.679376,0.769017322683423,No effect
CDC73,TDH2,0.20696823,-0.517017985419296,0.416754,0.0174025442120137,Study 2 only
CDC73,TDH3,0.82470269,-1.38256041584611,4.7631e-4,1.70579310721282e-9,Opposite
CDC73,YHB1,-2.4458807,-0.500191975960426,0,0.01709285946216,Consistent
